date,avg.temp_A,avg.temp_B,avg.temp_C,avg.temp_D,avg.temp_E,avg.wind.speed_A,avg.wind.speed_B,avg.wind.speed_C,avg.wind.speed_D,avg.wind.speed_E,max.inst.wind.speed_A,max.inst.wind.speed_B,max.inst.wind.speed_C,max.inst.wind.speed_D,max.inst.wind.speed_E,max.inst.wind.speed.dir_A,max.inst.wind.speed.dir_B,max.inst.wind.speed.dir_C,max.inst.wind.speed.dir_D,max.inst.wind.speed.dir_E,max.temp_A,max.temp_B,max.temp_C,max.temp_D,max.temp_E,max.wind.speed_A,max.wind.speed_B,max.wind.speed_C,max.wind.speed_D,max.wind.speed_E,max.wind.speed.dir_A,max.wind.speed.dir_B,max.wind.speed.dir_C,max.wind.speed.dir_D,max.wind.speed.dir_E,min.atmos.pressure_A,min.atmos.pressure_B,min.atmos.pressure_C,min.atmos.pressure_D,min.atmos.pressure_E,min.temp_A,min.temp_B,min.temp_C,min.temp_D,min.temp_E,precipitation_A,precipitation_B,precipitation_C,precipitation_D,precipitation_E
057d971b,11.9,10.8,10.0,11.3,9.1,2.1,2.7,0.9,1.2,0.7,8.8,12.9,7.2,6.9,7.3,6,4,1,6,2,19.7,18.5,17.8,19.2,14.7,5.9,7.6,2.4,4.1,2.6,6,5,2,6,1,1015.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,5.3,3.2,5.0,5.4,2.4,1.5,0.0,0.5,1.5,1.5
05b16ea2,13.2,12.7,12.7,13.8,11.2,1.7,2.5,0.8,0.6,0.7,6.7,7.8,4.9,4.3,4.8,7,1,2,6,3,14.0,13.5,13.6,14.5,12.8,4.4,4.6,1.9,2.0,1.9,6,2,2,6,3,1021.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,12.0,11.5,11.8,12.8,10.0,49.5,40.5,45.0,45.0,50.5
0667311a,2.0,1.3,0.5,2.2,-1.3,1.1,1.3,1.1,0.8,0.7,5.2,8.1,5.7,3.5,3.7,3,6,1,2,7,11.7,9.8,6.0,12.4,8.3,3.6,4.9,1.8,2.5,1.8,3,6,2,2,4,1017.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-4.7,-5.3,-2.4,-3.8,-7.9,0.0,0.0,0.0,0.0,0.0
075c138b,17.6,17.3,15.6,18.3,13.7,1.5,1.2,1.0,1.1,0.6,7.3,6.2,6.2,5.5,4.8,6,4,6,6,6,25.4,25.1,23.7,26.5,22.1,5.2,3.7,2.1,3.5,1.8,6,4,6,6,4,1011.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,12.3,11.5,11.1,13.1,7.9,0.0,0.0,0.0,0.0,0.0
07e1aefa,22.2,21.7,21.0,21.1,18.6,1.5,1.6,0.7,0.8,0.7,6.8,5.7,6.4,3.8,4.8,6,1,7,6,4,27.7,27.3,29.2,27.2,25.2,4.3,4.0,2.4,2.4,2.9,4,1,6,6,4,1007.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,16.7,17.1,14.9,16.7,13.5,0.0,0.0,0.0,1.5,0.0
086aabe2,10.2,9.5,8.4,10.4,5.8,2.8,2.3,1.3,1.9,1.3,15.5,11.4,8.5,13.9,10.0,6,6,6,6,1,17.0,17.1,16.5,19.4,14.0,8.2,5.7,3.2,6.5,3.9,6,3,6,4,3,1010.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,3.4,1.8,2.0,2.5,-1.4,0.0,0.0,0.0,0.0,0.5
08c6700a,28.3,27.7,26.7,29.1,23.7,2.3,1.4,0.9,1.8,0.8,9.6,8.1,6.7,7.1,7.1,4,4,6,6,5,35.4,35.4,33.6,36.4,31.2,6.5,4.0,2.4,4.2,2.6,4,6,6,6,4,1003.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,23.8,22.0,22.7,24.7,17.8,0.0,0.0,0.0,0.0,0.0
09e8a89e,16.2,15.5,15.3,16.6,12.8,1.4,2.2,0.8,1.1,0.4,4.7,10.2,4.4,6.7,4.0,2,3,0,6,3,19.8,19.6,20.1,20.8,15.9,3.4,5.9,1.6,3.6,1.6,5,1,2,6,3,1017.5,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,13.5,12.8,12.6,14.3,10.7,7.5,2.0,4.5,5.0,8.5
0a6d27e0,24.5,23.9,22.2,23.5,19.8,3.5,2.8,0.9,1.1,1.2,13.6,9.6,6.9,5.9,10.8,6,6,6,6,1,30.0,30.4,28.0,31.2,26.3,8.3,5.8,2.5,3.6,3.7,6,6,6,6,3,1000.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,19.3,16.8,16.5,18.0,13.6,2.0,0.0,0.0,0.5,0.5
0a7be0f0,20.0,19.3,18.8,20.4,16.7,2.1,1.9,0.5,0.8,0.3,6.7,8.3,3.0,4.8,2.4,7,4,6,6,6,23.8,23.0,21.9,24.5,20.6,5.1,4.2,1.4,3.0,1.4,7,6,2,6,4,1009.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,18.2,17.6,17.9,18.8,15.8,10.5,5.5,12.0,14.0,22.5
0a91e231,4.7,2.6,3.2,5.3,1.3,2.9,3.7,0.9,1.6,0.8,16.3,10.5,6.8,8.2,4.9,2,1,6,6,3,11.0,9.2,11.6,13.1,9.1,9.6,6.7,3.0,4.6,2.3,1,2,6,6,4,1016.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-1.1,-1.8,-2.1,-1.2,-5.0,0.0,0.0,0.0,0.0,0.0
0bd29b81,7.0,6.1,6.4,5.8,7.2,2.1,1.9,1.0,0.7,0.9,9.7,12.1,7.4,4.0,10.7,6,6,6,6,4,14.5,13.9,13.7,12.4,13.1,5.9,7.7,2.4,2.1,3.6,6,6,6,6,6,1000.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,1.6,0.1,2.1,1.4,-0.1,41.0,41.5,67.5,39.5,85.0
0c6d2122,22.4,22.0,20.4,22.5,18.3,2.1,2.1,0.9,1.6,0.6,11.4,9.9,6.2,6.9,6.0,6,4,7,6,7,29.0,28.4,26.7,28.9,24.8,6.6,5.2,2.5,4.0,2.0,6,6,6,6,6,1001.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,17.1,15.2,15.5,17.5,12.5,0.0,0.0,11.0,0.0,0.0
0d1f33c1,9.1,8.1,7.4,8.7,6.0,1.8,1.7,0.9,0.7,0.8,9.4,11.5,5.7,4.0,5.7,3,4,1,2,4,18.9,18.2,16.4,17.8,16.3,5.9,7.1,2.0,2.2,2.1,3,6,2,2,3,1010.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,2.2,0.1,2.4,2.2,-0.5,0.0,0.0,0.0,0.0,0.0
0fa53b63,8.6,8.0,6.0,8.2,4.4,5.6,3.6,1.1,1.6,2.3,22.2,16.3,12.7,10.0,13.8,3,1,6,2,3,11.5,11.0,10.4,11.3,8.6,13.3,8.0,3.3,4.6,5.5,3,6,5,6,3,1002.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,5.6,4.3,2.8,3.6,1.5,1.5,2.0,5.5,1.5,5.0
0faf7704,21.7,21.1,19.8,21.5,16.9,2.1,2.5,1.4,1.6,1.0,11.4,12.3,7.1,9.2,8.8,4,6,6,6,4,30.6,29.7,29.1,31.1,27.2,6.8,6.7,3.1,5.9,2.4,6,6,6,6,6,1011.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,13.4,12.2,12.2,12.7,8.8,0.0,0.0,0.0,0.0,0.0
104d8f20,8.9,7.2,7.0,9.6,4.8,3.9,3.7,1.2,2.1,1.9,17.3,12.9,8.7,13.5,12.1,7,2,3,6,3,15.3,13.4,13.6,16.5,10.5,11.6,7.8,3.2,6.5,4.2,7,2,7,6,3,1005.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,3.4,1.4,0.4,3.8,-1.3,0.0,0.0,0.0,0.0,0.0
1056bec6,5.6,4.0,2.4,4.9,1.6,2.6,2.7,0.9,1.2,1.5,10.1,11.0,6.1,8.7,8.3,2,3,5,2,7,13.0,11.0,10.8,14.3,8.5,6.0,6.0,2.1,4.8,3.4,3,3,2,6,3,1017.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-0.6,-2.0,-3.4,-1.8,-2.1,0.0,0.0,0.0,0.0,0.0
106e4b2b,25.5,23.9,23.0,25.9,21.0,2.0,2.0,0.9,1.3,0.8,10.4,9.7,6.4,6.2,6.4,3,2,6,6,6,33.0,30.3,29.8,35.4,29.2,6.5,6.5,2.0,4.0,2.6,3,2,6,6,6,1009.5,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.4,19.2,18.8,19.9,16.1,0.0,0.0,0.0,0.0,0.0
10ec08d8,19.4,19.2,18.3,19.2,16.0,1.1,1.2,0.8,0.8,0.4,7.0,9.1,5.0,3.3,2.7,6,6,2,3,1,23.7,24.2,22.4,22.9,20.2,4.7,5.8,2.2,1.9,1.6,6,6,2,7,1,1011.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,17.1,16.6,16.2,16.6,13.3,18.5,22.0,17.5,14.5,26.0
11163723,27.0,26.6,23.7,26.2,22.1,1.8,1.3,1.0,1.4,0.6,9.0,6.0,5.6,6.6,4.5,4,6,6,6,4,33.5,33.8,31.1,33.8,29.2,5.1,4.0,1.8,3.9,1.5,6,6,6,6,4,1004.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,22.2,21.2,18.5,20.6,15.6,0.0,0.0,0.0,0.0,0.0
11fca918,5.5,4.0,4.5,4.5,2.5,1.9,1.3,1.2,0.5,0.9,9.2,6.3,5.6,3.5,6.8,6,4,6,4,7,13.8,11.7,12.5,14.1,11.8,5.8,3.9,2.1,1.9,3.3,6,4,6,2,3,1013.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-0.6,-2.3,0.0,-1.1,-2.8,0.0,0.0,0.0,0.0,0.0
1210b112,24.6,23.9,23.0,24.9,19.6,2.0,1.3,0.9,1.4,0.5,8.9,7.6,4.9,6.9,3.8,6,6,1,6,4,32.4,31.5,30.2,33.1,27.9,5.6,4.0,2.0,4.3,1.4,6,4,6,6,2,1012.5,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,19.6,18.1,18.5,18.9,15.6,0.0,0.0,0.0,0.0,0.0
12b2c369,21.5,20.0,19.6,21.5,16.6,2.9,2.0,1.2,1.3,1.0,12.9,11.7,7.7,8.3,8.3,7,5,6,6,1,29.1,29.4,27.2,30.4,25.3,8.7,5.8,3.0,4.3,3.5,6,6,6,6,3,998.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,15.8,14.6,13.9,15.5,10.5,0.0,1.0,0.0,0.0,0.0
132c76cd,18.2,17.6,15.5,17.1,14.1,3.0,3.2,0.8,1.1,0.9,9.0,11.5,5.8,4.7,7.1,6,6,6,6,7,25.6,25.6,22.5,23.9,21.0,6.8,6.2,2.7,2.6,2.8,6,6,6,2,3,1002.5,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,12.8,10.9,11.3,12.3,8.4,0.0,0.0,0.0,0.0,0.0
15bc4979,9.7,9.5,9.4,10.4,7.9,1.1,1.7,1.1,0.8,0.3,6.6,7.9,6.4,4.1,5.8,7,2,3,6,4,11.5,12.9,11.8,12.1,10.3,4.3,4.4,2.3,2.2,1.7,3,1,1,6,6,1017.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,8.2,6.2,7.1,7.7,3.5,9.0,6.0,10.5,7.0,9.5
1607405b,22.0,21.2,20.9,21.4,19.8,3.3,4.0,0.9,1.0,1.8,8.3,13.7,7.4,3.7,12.4,6,6,6,2,4,22.9,22.9,22.1,22.8,21.0,5.3,6.9,2.5,2.6,3.6,6,6,6,2,2,1008.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.4,19.3,19.7,20.4,18.4,38.5,24.0,88.0,21.5,98.5
16a303c0,15.1,14.5,14.3,15.4,12.6,1.5,1.2,0.9,0.8,0.5,6.3,5.7,4.4,6.5,4.0,3,6,2,2,6,19.5,19.2,17.0,19.2,17.5,5.3,3.1,1.9,3.7,2.1,3,2,2,2,6,998.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,12.6,12.2,12.1,12.5,9.3,4.0,4.5,5.0,8.5,6.0
171adbe3,22.2,21.9,21.2,21.8,19.6,3.0,3.6,0.7,1.3,1.0,22.6,13.5,17.1,11.6,15.6,7,6,6,7,3,25.8,25.8,25.4,26.3,24.1,11.0,7.2,4.1,6.0,4.0,3,6,2,7,3,1001.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.1,19.6,18.9,19.0,17.0,72.5,42.0,76.0,63.5,116.0
182683f2,7.5,5.7,7.7,7.1,4.6,1.4,1.4,1.2,0.6,0.6,5.7,8.1,6.6,3.7,3.0,4,4,1,6,4,16.8,15.2,16.1,16.1,14.1,3.8,4.6,2.3,2.1,1.6,4,6,1,6,4,1027.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,2.0,-0.8,3.4,2.1,-0.6,0.0,0.0,0.0,0.0,0.0
18817005,2.9,2.3,1.3,3.5,-0.5,3.4,2.2,0.7,1.4,1.7,15.4,14.0,9.0,12.5,10.5,6,3,6,4,3,9.1,8.0,7.5,9.9,4.4,9.6,7.4,3.0,5.4,4.4,6,3,6,6,3,1013.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-1.8,-2.6,-3.3,-1.1,-4.8,0.0,0.0,0.0,0.0,0.0
18c4f707,18.1,17.6,16.0,18.3,13.5,2.8,2.5,1.4,1.7,1.0,10.3,12.4,8.2,8.8,7.9,7,4,6,6,1,25.8,25.9,24.3,27.0,21.8,7.5,6.1,3.0,4.7,3.3,7,4,6,6,3,1007.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,10.7,9.2,8.6,10.1,5.3,0.0,0.0,0.0,0.0,0.0
1936651f,10.9,10.3,10.0,10.9,7.1,1.4,1.2,1.2,0.7,0.7,9.4,4.6,6.3,4.4,4.3,3,1,1,6,6,19.3,19.1,18.3,20.3,17.3,5.8,2.6,2.4,3.0,1.9,3,6,2,6,4,1015.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,4.8,4.2,5.6,5.2,1.6,0.0,0.0,0.0,0.0,0.0
1b14457a,19.6,18.0,18.0,20.1,15.4,4.0,3.9,0.8,1.6,0.9,16.6,14.3,5.3,7.5,6.2,2,1,1,6,3,25.5,22.8,24.8,27.3,21.9,10.0,7.8,1.7,4.2,2.8,2,1,2,6,4,993.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,15.4,14.4,14.4,15.3,10.4,0.0,0.0,0.0,0.0,0.0
1b7a51a1,26.5,26.0,24.9,26.2,21.7,2.3,2.2,0.9,1.8,0.8,10.3,10.9,7.3,8.2,5.8,4,4,6,6,4,34.0,33.2,32.2,34.2,29.4,6.6,6.8,2.7,4.7,2.3,4,6,6,6,6,1011.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,21.7,20.4,19.8,18.9,15.2,0.0,0.0,0.0,0.0,0.0
1d3cc3d6,11.3,9.9,10.0,13.0,7.5,2.9,3.9,1.4,1.6,1.1,12.7,15.7,7.1,11.6,9.1,2,2,6,6,3,18.4,15.1,17.7,21.5,15.5,7.8,9.5,2.9,5.4,3.4,2,2,6,6,3,1006.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,5.8,4.1,3.5,6.1,0.6,0.0,0.0,0.0,0.0,0.0
1d67a783,21.8,20.8,19.5,22.0,17.7,2.4,2.2,0.8,1.4,0.7,8.7,9.5,5.3,6.2,5.2,4,6,6,6,6,27.1,27.6,25.6,26.9,23.3,6.0,5.2,2.1,3.7,2.3,6,4,6,6,6,1000.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,17.6,17.2,15.2,17.7,12.8,3.0,9.5,1.0,1.0,7.0
1d80a72c,14.1,13.0,13.0,14.4,11.1,1.6,1.3,0.9,1.1,0.7,7.8,8.4,4.3,6.3,4.5,6,6,2,3,4,22.1,21.2,19.9,22.0,18.2,5.6,4.8,1.8,3.4,2.2,6,6,6,6,4,1020.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,9.9,7.0,9.7,10.9,6.5,0.0,0.0,0.0,0.0,1.5
1e02bb1f,4.9,2.7,5.0,5.1,2.7,1.3,1.3,1.0,0.7,0.5,5.9,8.1,7.0,3.4,3.4,6,6,1,2,3,13.5,12.3,12.3,12.3,9.8,4.4,5.9,2.1,2.4,1.9,6,6,2,2,4,1022.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-1.3,-4.0,-0.1,-0.9,-3.1,0.0,0.0,0.0,0.0,0.0
1ec0b624,13.6,13.0,13.2,14.6,11.5,1.1,0.9,1.0,1.1,0.4,4.2,3.6,5.4,6.1,3.3,4,2,1,6,4,17.6,17.0,17.1,20.4,17.0,3.4,2.3,1.9,3.3,1.8,3,2,2,6,4,1012.5,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,10.6,9.8,10.3,10.9,7.5,1.0,4.0,0.5,0.0,2.0
1f4f59d2,21.5,20.4,19.3,21.1,17.5,1.8,0.9,0.8,0.9,0.4,7.8,5.4,4.8,3.2,3.3,7,4,1,6,3,27.0,26.4,24.3,26.7,22.2,5.5,3.3,1.9,2.0,1.6,7,6,6,6,6,1009.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,18.1,17.4,16.7,18.4,14.6,0.0,0.0,0.0,1.0,0.5
1f6075d5,15.2,14.1,13.1,16.1,11.4,1.9,1.9,1.0,1.4,0.6,9.0,7.5,6.1,7.0,4.4,6,6,1,6,3,23.0,22.3,21.2,23.7,19.6,6.0,4.9,2.0,4.4,1.6,7,1,3,6,3,1018.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,11.3,9.4,9.3,12.6,7.0,0.0,0.0,0.0,0.0,0.0
1fdf2621,22.7,22.5,20.3,22.7,18.1,4.4,2.9,0.9,1.3,0.8,14.5,11.7,5.8,7.5,5.9,6,6,6,6,7,28.4,29.0,25.9,30.0,24.4,10.5,6.8,2.7,4.5,2.4,7,6,6,6,6,1008.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,18.0,17.8,15.3,18.3,12.4,0.5,0.0,0.5,3.5,0.0
207c1567,12.5,10.1,9.1,12.1,7.7,3.2,3.2,0.8,1.0,1.0,13.2,10.5,4.7,7.1,7.4,3,1,6,6,3,17.8,14.3,14.6,19.7,14.0,9.4,6.1,1.7,4.3,2.7,7,2,2,6,6,1012.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,5.4,4.3,2.8,5.6,-0.5,1.0,0.5,6.0,0.5,2.0
20ecec1b,0.7,-0.2,-1.6,0.6,-2.9,2.4,1.8,0.6,0.7,0.9,14.1,10.2,4.7,8.1,11.4,7,4,6,6,1,8.1,7.2,3.7,8.9,3.2,10.1,6.2,2.0,4.4,3.9,7,6,6,6,3,1020.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-4.4,-6.2,-5.2,-3.9,-8.4,0.0,0.0,0.0,0.0,0.0
21ee0d83,22.1,21.8,21.1,22.4,19.3,1.5,1.0,0.7,1.0,0.4,7.8,7.3,3.9,6.5,3.5,6,6,6,6,4,28.0,28.3,27.6,29.8,24.3,5.6,4.0,1.5,3.2,2.0,6,6,0,6,4,1013.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,19.5,19.2,18.6,18.4,15.6,18.5,8.0,63.0,13.0,3.5
22c3ec15,-0.8,-1.7,-1.3,0.2,-4.2,1.5,1.5,0.5,0.8,0.7,11.9,5.7,3.4,4.8,5.3,7,5,5,5,5,6.0,4.8,2.1,6.2,3.6,7.8,3.4,1.8,3.0,2.2,3,5,5,5,5,1014.5,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-5.4,-6.7,-4.6,-3.3,-10.3,0.0,0.0,0.0,0.0,0.0
23dc65ac,4.5,3.1,3.5,4.4,1.0,1.2,1.0,1.2,0.6,0.6,4.4,4.9,5.7,4.5,3.4,5,6,6,6,4,10.8,11.0,10.4,11.5,8.8,3.1,2.8,2.4,2.6,2.1,3,4,6,6,4,1020.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,0.9,-1.4,0.2,0.6,-2.8,0.0,0.0,0.0,0.0,0.0
242ab697,4.4,3.1,1.9,4.2,1.2,3.0,4.0,0.4,1.1,1.4,10.8,14.4,3.4,8.6,7.5,6,4,6,0,1,7.5,7.8,4.9,9.5,3.9,7.9,8.0,1.8,4.5,3.3,7,6,6,2,3,1008.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,0.5,-3.0,-1.0,-0.8,-3.8,0.0,0.0,4.5,0.0,0.5
258e476b,11.7,11.3,9.6,13.7,9.1,2.7,3.8,0.9,1.7,1.1,14.8,15.8,9.7,11.8,10.8,4,4,6,6,3,17.6,18.6,17.8,20.1,14.9,8.6,9.1,2.8,6.0,4.5,4,6,6,3,1,1000.5,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,5.7,4.7,4.4,7.6,1.3,10.5,10.5,10.0,11.0,14.5
26807d55,22.3,21.8,20.0,22.8,17.8,2.1,2.2,1.2,1.8,0.8,8.7,9.3,6.3,7.7,7.7,4,6,6,6,4,29.7,28.9,27.9,30.9,25.9,6.0,5.2,2.9,4.4,2.5,7,6,6,6,4,1003.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,15.9,15.2,13.9,16.1,10.5,0.0,0.0,0.0,0.0,0.0
26d5bdf3,3.6,3.0,1.9,3.9,0.4,2.8,2.0,0.9,1.1,1.1,14.1,10.4,7.5,6.6,12.3,6,3,6,4,3,9.5,9.3,7.9,11.5,5.5,8.7,6.9,2.6,3.0,4.2,6,6,6,5,3,1012.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-1.6,-2.1,-1.5,-1.5,-4.0,0.0,0.0,3.5,0.0,4.0
