date,label,avg.temp_A,avg.temp_B,avg.temp_C,avg.temp_D,avg.temp_E,avg.wind.speed_A,avg.wind.speed_B,avg.wind.speed_C,avg.wind.speed_D,avg.wind.speed_E,max.inst.wind.speed_A,max.inst.wind.speed_B,max.inst.wind.speed_C,max.inst.wind.speed_D,max.inst.wind.speed_E,max.inst.wind.speed.dir_A,max.inst.wind.speed.dir_B,max.inst.wind.speed.dir_C,max.inst.wind.speed.dir_D,max.inst.wind.speed.dir_E,max.temp_A,max.temp_B,max.temp_C,max.temp_D,max.temp_E,max.wind.speed_A,max.wind.speed_B,max.wind.speed_C,max.wind.speed_D,max.wind.speed_E,max.wind.speed.dir_A,max.wind.speed.dir_B,max.wind.speed.dir_C,max.wind.speed.dir_D,max.wind.speed.dir_E,min.atmos.pressure_A,min.atmos.pressure_B,min.atmos.pressure_C,min.atmos.pressure_D,min.atmos.pressure_E,min.temp_A,min.temp_B,min.temp_C,min.temp_D,min.temp_E,precipitation_A,precipitation_B,precipitation_C,precipitation_D,precipitation_E
045d984a,1,2.8,3.4,3.1,3.8,1.4,1.1,2.0,0.9,0.7,0.6,5.2,12.2,6.0,4.1,4.0,6,6,2,2,1,9.3,9.5,8.7,11.2,9.4,3.2,7.5,2.3,2.2,1.8,3,6,2,2,3,1010.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-2.8,-4.1,-1.0,-1.1,-4.7,0.0,0.0,0.0,0.0,0.0
05b1591f,2,19.5,19.1,18.3,18.6,15.5,1.9,3.7,0.6,0.7,0.5,8.5,11.4,5.0,2.4,4.4,2,1,2,2,4,22.3,20.9,21.2,22.8,20.0,5.7,6.8,1.8,1.7,2.3,6,1,0,2,4,1004.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,18.0,16.7,15.1,17.0,13.5,3.0,4.0,0.5,9.0,4.0
05fe6250,2,1.7,0.1,2.0,1.9,0.4,1.1,0.6,0.7,0.5,0.7,9.0,2.9,4.5,3.7,4.2,3,4,3,6,6,6.1,3.4,6.4,6.6,5.5,6.0,1.8,2.1,1.8,1.8,3,4,2,6,3,1008.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-1.1,-2.7,-1.5,-1.4,-3.6,0.0,0.0,0.0,0.0,0.0
062e6b04,2,19.5,18.2,17.7,19.2,15.6,2.1,1.4,0.6,0.9,0.4,7.8,8.4,4.1,4.7,3.0,6,6,6,6,4,23.7,22.3,21.6,22.5,19.9,6.0,4.5,1.9,2.7,1.8,6,4,6,6,4,1008.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,16.9,14.7,15.4,16.9,12.9,0.0,0.0,0.0,0.0,0.0
07aac6ee,2,16.7,15.9,15.3,17.1,13.1,1.7,1.6,0.9,1.3,0.6,7.3,8.6,5.6,5.9,5.5,6,6,6,6,6,22.2,21.4,21.4,23.7,19.1,5.0,5.2,2.2,3.7,2.0,6,6,6,6,4,1008.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,13.6,12.9,12.2,14.0,9.2,1.0,0.0,2.0,0.0,2.5
07e1e9d7,1,15.5,14.1,13.6,15.4,10.6,1.6,2.1,1.0,1.3,0.7,7.4,8.7,5.8,6.0,4.4,5,2,3,6,4,21.4,21.0,21.7,22.2,18.2,4.7,5.3,2.2,3.4,2.1,3,2,6,6,4,1012.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,10.6,9.1,8.4,9.5,4.7,0.0,0.0,0.0,0.0,0.0
085feaed,1,21.9,21.2,20.1,21.7,18.6,2.5,3.5,0.6,0.9,0.6,7.4,14.4,5.9,4.0,6.8,6,6,6,6,3,24.1,24.1,23.1,24.8,21.2,5.0,7.6,1.7,2.5,2.8,6,6,6,2,1,1003.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.2,19.2,17.9,19.9,16.0,25.0,6.0,31.0,37.0,64.5
093948d8,0,21.2,20.1,20.0,20.6,18.7,3.0,2.6,0.6,1.0,1.0,9.7,11.3,9.3,4.6,11.4,7,5,6,2,1,22.9,21.7,22.7,22.1,21.5,6.8,5.7,2.3,2.4,4.2,7,5,6,2,1,1005.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,19.1,18.6,18.2,19.6,17.3,116.0,61.5,153.0,68.5,133.5
0950be19,1,4.3,3.0,4.2,4.9,2.7,0.8,0.7,0.8,0.7,0.4,3.4,3.3,5.2,4.1,3.1,5,2,3,2,1,6.6,6.2,6.4,6.5,5.8,2.5,2.2,1.7,2.6,1.6,5,2,0,2,1,1018.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,2.8,0.7,2.0,3.5,0.1,12.0,7.5,11.5,11.5,22.0
097fbcd6,1,5.3,2.8,2.6,4.3,2.2,1.3,0.6,1.0,0.6,0.8,6.5,3.6,4.9,5.3,7.6,4,2,2,2,7,11.9,7.3,5.2,11.2,9.3,3.8,2.1,1.8,3.0,2.7,4,2,2,2,3,1015.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-0.5,-4.0,-1.3,-1.8,-3.5,0.0,2.0,0.5,0.0,0.5
0a13c426,2,1.7,0.8,0.2,1.8,-0.8,2.6,1.0,0.8,0.7,0.9,15.0,5.3,5.1,4.6,8.3,7,4,6,6,1,9.7,9.3,7.6,11.0,6.1,11.0,3.3,2.2,2.3,2.7,7,4,6,2,3,1019.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-4.0,-4.6,-3.3,-3.6,-5.3,0.0,0.0,0.0,0.0,0.0
0a8d36b3,2,28.1,27.4,24.8,28.0,22.8,3.1,1.3,0.8,1.5,0.7,15.9,6.6,6.2,6.8,7.3,7,4,6,6,1,34.7,35.0,31.1,37.0,29.1,10.9,3.9,2.6,4.4,2.3,7,6,6,6,1,1009.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,23.9,23.5,21.6,23.0,18.6,0.0,0.0,15.5,0.0,0.0
0ac391dd,2,11.5,10.4,9.1,11.7,6.5,3.5,2.4,1.3,1.7,1.4,14.2,9.8,8.2,10.8,10.6,6,7,7,6,3,17.8,18.0,16.5,19.3,13.3,9.0,5.7,3.0,5.6,4.3,7,4,6,6,3,1013.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,5.6,3.5,3.1,5.7,0.6,0.0,0.0,0.0,0.0,0.0
0b4cfdbe,1,27.9,27.8,25.5,28.1,23.1,2.2,1.3,1.0,1.8,0.8,12.8,6.3,6.4,7.3,6.4,6,4,6,6,3,35.9,36.5,33.2,36.0,31.7,7.6,3.8,2.3,4.7,2.4,3,4,6,6,3,1005.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,21.4,20.6,19.5,21.5,15.8,0.0,0.0,0.0,0.0,0.0
0bae4a44,1,13.4,12.5,11.2,13.3,10.2,2.6,4.3,0.5,1.0,0.7,7.2,16.4,5.7,7.2,6.4,6,4,0,7,0,16.1,15.0,12.8,17.8,13.5,4.6,8.3,2.0,4.3,2.3,7,6,0,3,0,1016.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,10.2,8.2,8.5,9.7,4.8,34.0,8.5,35.5,30.0,60.5
0c02c215,1,22.6,21.6,21.0,22.3,19.3,2.5,2.7,0.3,0.9,0.5,10.5,10.1,3.2,4.7,6.0,4,6,6,6,3,28.2,25.8,23.5,28.3,24.0,6.7,6.0,1.3,2.6,2.5,4,6,7,6,3,1011.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.1,19.4,19.6,19.7,16.9,7.0,1.5,25.0,12.0,15.0
0c2448ba,1,2.0,0.2,0.1,2.2,-0.9,1.5,2.3,0.8,1.2,1.0,5.6,10.1,7.5,6.1,6.0,0,1,6,6,6,10.8,8.0,9.3,12.4,8.4,4.3,6.4,2.6,3.8,2.4,6,2,6,6,6,1021.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-4.2,-5.1,-5.9,-4.3,-6.7,0.0,0.0,0.0,0.0,0.0
0c439fc2,1,12.4,11.7,11.2,12.4,7.8,2.7,3.1,1.3,2.1,0.9,11.6,11.5,7.9,8.4,8.3,6,4,7,6,3,19.9,19.7,19.1,20.6,15.9,7.4,7.4,3.8,5.2,2.4,6,4,6,6,7,1024.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,5.2,3.7,4.0,4.5,-0.3,0.0,0.0,0.0,0.0,0.0
0c5da78e,2,23.3,22.1,21.3,23.1,18.6,1.8,1.5,0.9,1.4,0.6,9.2,6.4,6.4,7.4,6.7,7,1,3,6,4,30.0,27.8,28.2,31.3,25.2,5.5,3.9,2.2,4.3,2.5,7,1,6,6,4,1012.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,18.4,16.5,17.0,18.1,13.9,0.0,0.0,0.0,0.0,0.0
0c6b73f5,1,25.2,24.3,23.4,25.7,21.7,2.1,1.2,0.9,1.5,0.6,9.4,12.0,5.2,7.5,6.4,6,7,2,6,6,33.7,32.2,31.2,33.8,29.4,6.1,5.3,2.0,4.6,2.7,6,1,2,6,4,1006.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,21.7,20.5,19.8,20.2,16.4,8.5,27.0,86.0,1.5,11.5
0d44ea01,1,12.6,11.1,11.8,12.8,10.3,1.6,3.4,0.9,1.0,1.0,7.1,15.4,5.0,6.8,8.3,5,2,2,6,3,20.3,16.7,18.2,19.7,20.7,4.3,9.6,1.6,3.5,4.0,0,2,2,6,3,1012.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,8.8,6.7,8.3,8.1,4.9,0.0,0.0,0.0,0.0,0.0
0d7be588,2,29.0,27.2,25.3,29.0,23.8,2.6,1.7,1.1,1.1,0.9,12.7,8.8,6.5,7.2,7.6,7,0,6,5,7,36.8,35.9,34.3,39.5,33.2,8.5,5.4,2.2,3.4,3.0,3,2,2,4,3,1006.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,22.5,20.6,20.3,22.6,17.1,0.0,0.0,0.0,0.0,0.0
0d927df9,2,21.3,20.5,18.2,21.5,16.3,2.5,1.6,0.9,1.1,0.9,12.3,10.3,4.6,6.4,10.7,7,4,6,6,2,28.3,28.9,26.1,30.0,23.6,8.3,4.9,1.5,3.2,3.7,6,4,2,6,3,1011.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,15.3,15.3,14.1,16.4,10.7,0.0,0.0,0.0,0.0,0.0
0dd475d9,2,10.0,9.0,8.8,10.7,5.9,2.8,3.1,1.2,2.5,1.1,10.8,10.6,8.0,10.4,9.4,6,6,6,6,5,18.3,18.3,16.1,18.5,14.9,7.3,6.8,3.6,6.0,3.8,6,6,6,6,6,1014.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,3.5,0.7,1.1,5.4,-1.2,0.0,0.0,0.0,0.0,0.0
0de5171d,0,1.9,0.6,2.1,2.8,0.2,0.8,0.9,0.9,0.6,0.3,3.7,4.1,6.3,3.9,2.4,3,5,2,6,1,4.2,3.5,5.3,6.9,5.1,2.3,2.1,1.7,2.1,1.0,7,3,2,6,3,1019.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-2.0,-3.7,-1.0,-2.2,-5.0,7.5,4.0,8.5,4.0,13.5
0fb5e0f8,2,8.9,8.8,6.4,7.8,5.6,4.6,3.8,0.9,1.1,2.1,20.1,19.6,8.6,9.1,18.7,3,6,6,4,7,14.3,15.5,11.2,13.5,9.9,11.4,9.5,2.1,4.8,6.9,3,6,5,6,3,997.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,4.2,3.2,3.3,4.3,1.9,24.5,20.5,36.5,24.0,38.0
0fba9f0e,2,3.9,4.1,6.3,5.3,5.2,0.9,0.8,1.4,0.8,0.4,4.7,5.7,7.1,5.2,2.9,6,2,0,6,1,6.7,8.1,9.8,7.2,8.3,2.8,2.7,2.4,2.7,1.4,6,2,2,6,3,1028.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,0.6,-1.2,1.3,1.8,-1.5,12.5,5.0,5.5,22.5,21.0
115723b5,2,20.9,19.7,19.6,21.2,16.5,2.2,2.5,0.9,1.5,0.6,10.1,12.2,5.7,7.2,7.1,6,4,7,6,6,27.6,27.7,25.8,28.4,23.1,6.5,6.3,2.6,4.1,2.5,6,4,6,6,5,1015.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,16.4,13.8,16.5,17.0,12.0,0.0,0.0,0.0,0.0,0.0
126d015a,2,14.6,13.8,11.0,13.0,9.0,4.9,1.9,0.6,1.0,1.1,15.7,9.0,5.3,5.9,10.6,7,4,6,5,7,19.8,20.5,16.0,21.3,16.1,11.2,4.7,1.8,3.2,5.1,7,6,6,5,7,1008.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,7.6,7.5,5.2,6.5,1.5,0.0,0.0,0.0,0.5,0.0
12e37a27,0,21.7,20.7,20.2,22.3,16.8,3.7,3.0,1.1,2.1,0.7,12.5,12.3,8.4,12.6,6.6,6,5,3,7,4,27.4,26.3,25.2,27.5,23.2,8.0,7.2,2.4,6.0,1.8,6,5,6,7,4,1009.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,17.6,16.9,15.8,18.3,12.5,0.0,0.0,0.5,0.0,0.0
12ebcf1c,1,-0.1,-0.8,-0.9,0.6,-3.9,2.8,3.4,0.7,1.2,1.4,12.2,15.7,6.1,7.2,11.4,7,6,6,6,3,4.6,5.7,2.0,6.6,0.0,8.5,8.4,2.7,3.9,3.4,7,6,6,2,3,1013.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-4.7,-6.1,-3.6,-3.8,-8.3,0.0,0.0,1.0,0.0,1.5
13638245,1,24.3,24.0,21.8,24.4,20.2,1.9,1.7,0.9,1.1,0.8,7.8,6.8,4.8,5.7,6.3,6,4,6,6,5,31.7,30.7,28.2,32.3,28.2,5.5,4.1,2.0,3.2,2.6,6,4,6,6,6,1008.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,19.4,17.8,17.1,18.2,14.2,4.5,0.0,0.0,0.0,3.5
137d41ba,2,22.2,20.9,20.8,21.5,19.9,2.9,2.6,0.6,1.0,1.2,10.7,10.5,6.4,4.4,14.4,7,6,6,2,3,25.2,23.4,22.0,22.9,22.2,6.2,6.8,2.1,2.8,4.6,6,6,5,2,3,1000.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.2,18.8,19.4,20.0,17.5,60.5,83.0,130.5,20.5,72.5
143ab6e7,0,22.8,22.6,20.8,22.7,18.2,2.0,1.9,1.2,1.9,1.0,9.7,7.7,6.4,9.9,7.0,4,1,7,7,7,31.9,31.1,30.1,32.7,27.4,6.1,5.2,2.8,5.0,2.8,4,2,6,6,3,1006.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,15.3,13.2,14.3,14.4,10.0,0.0,0.0,0.0,0.0,0.0
1497d4fa,2,5.1,4.1,3.6,4.4,1.3,2.0,1.2,0.9,0.5,0.7,9.2,7.8,5.4,2.8,5.3,7,4,6,4,4,11.6,10.7,10.3,12.0,8.1,6.6,4.5,1.9,1.6,2.0,7,4,6,5,6,1019.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,0.8,-0.7,0.5,0.6,-2.8,0.0,0.0,0.0,0.0,0.0
15404931,2,21.2,21.2,19.5,21.9,17.2,1.9,1.5,0.8,1.5,0.7,8.2,8.4,5.3,5.8,4.5,6,4,6,6,4,26.1,25.7,24.7,27.4,22.3,5.4,4.8,2.1,3.8,2.0,6,5,6,6,6,1010.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,17.1,16.5,15.5,16.5,11.8,0.0,0.5,6.5,0.0,0.0
160a7a23,2,-0.4,-1.5,-2.1,-0.1,-4.0,3.5,3.0,0.9,1.2,1.3,11.9,9.9,6.4,7.9,9.5,6,6,6,6,7,2.7,1.8,-0.6,3.1,-2.4,7.1,6.1,2.6,4.1,3.8,6,6,6,6,3,1012.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-1.9,-3.7,-4.2,-3.5,-7.5,1.0,1.5,14.0,0.0,3.5
1699af40,2,20.6,19.4,19.4,21.9,18.4,1.5,1.0,0.7,1.0,0.4,9.7,7.2,5.1,5.2,3.6,7,6,1,6,4,22.9,21.9,23.4,26.6,22.1,6.4,3.3,2.0,3.3,1.5,7,4,2,6,4,1010.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,19.1,18.0,17.3,19.3,16.5,47.0,56.0,72.5,16.5,17.0
16b21254,2,24.2,23.5,21.4,23.4,19.7,2.5,2.3,0.6,0.9,0.5,8.6,10.4,4.9,4.3,4.8,3,6,6,6,6,29.6,29.1,27.0,30.7,25.7,5.8,6.8,1.7,2.5,1.9,3,6,0,2,4,1010.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.4,19.4,18.4,20.8,16.2,1.0,1.5,2.0,0.5,1.5
170e414a,1,7.7,7.2,8.9,8.1,5.9,1.1,2.4,0.6,0.6,0.2,3.3,8.8,4.3,3.4,1.9,2,1,1,6,4,8.9,11.5,11.5,10.1,7.0,2.3,5.3,1.6,2.2,1.0,6,2,1,6,4,1023.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,6.6,5.5,7.5,7.4,4.3,2.0,2.5,1.5,7.0,5.5
178b6823,2,10.3,9.5,9.2,11.2,6.1,2.6,3.0,1.5,1.5,1.1,11.3,13.3,9.3,8.6,9.1,6,4,7,6,1,18.2,17.8,17.6,19.0,13.7,7.5,7.6,3.8,4.7,3.1,6,6,6,6,3,1010.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,2.2,0.0,1.1,4.1,-1.0,0.0,0.0,0.0,0.0,0.0
17a24b01,1,4.8,3.6,4.1,5.0,2.0,0.7,1.8,1.3,0.3,0.2,2.7,6.5,5.5,1.8,2.8,6,2,2,2,7,5.8,4.6,5.0,6.3,3.9,2.1,3.4,1.9,1.2,1.0,3,3,2,2,6,1017.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,4.0,2.0,2.5,3.5,1.0,18.5,11.0,18.0,20.0,19.5
17dea885,2,17.4,16.2,16.7,18.4,13.8,1.1,2.5,1.0,1.3,0.4,5.2,8.7,4.6,5.2,3.6,2,2,6,6,4,23.5,21.9,22.6,23.2,19.7,3.2,5.4,2.2,2.9,2.0,2,2,6,6,4,1006.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,12.4,10.4,12.1,15.1,8.7,0.0,0.0,0.0,0.0,0.0
17e30a70,2,25.4,23.9,23.3,26.0,20.5,2.1,3.2,0.8,1.6,0.5,8.7,9.5,6.5,6.7,4.6,0,2,7,6,4,31.8,29.8,30.6,33.0,26.7,5.7,5.9,2.4,4.1,2.3,0,2,6,6,4,1004.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.8,18.1,18.8,21.9,16.3,0.0,0.0,0.0,0.0,2.5
1866ce55,2,8.7,7.2,6.7,8.8,4.2,3.6,4.1,1.1,1.5,1.2,14.7,14.0,7.6,9.9,9.6,2,2,6,7,7,15.4,13.6,15.1,17.7,11.9,8.2,8.5,3.1,5.2,3.4,2,2,6,6,7,997.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,4.1,2.9,0.9,2.7,-1.0,0.0,0.0,0.5,0.0,0.0
18b846da,1,2.6,2.1,1.2,3.3,-0.4,2.0,1.7,0.8,1.3,0.8,10.3,9.1,6.1,9.1,7.2,3,4,7,6,4,9.5,9.1,8.7,11.2,7.3,7.0,5.1,2.6,4.9,2.5,3,6,6,6,6,1019.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-4.1,-5.5,-5.1,-3.6,-7.3,0.0,0.0,0.0,0.0,0.0
18f9e7cc,2,10.1,9.4,6.9,10.6,5.5,2.4,1.8,0.7,1.1,1.1,12.7,9.2,4.7,7.1,9.0,7,3,6,5,1,18.5,17.3,14.3,18.9,13.2,8.4,6.0,1.6,3.3,3.2,7,3,2,6,3,1011.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,3.9,3.5,2.7,5.5,-0.3,0.0,0.0,0.0,0.0,0.0
18fae49c,2,19.6,19.3,19.8,18.7,16.0,2.2,4.1,1.3,0.7,0.6,12.1,12.3,8.0,3.8,5.0,2,2,0,2,4,22.7,20.6,23.5,21.5,19.2,5.6,7.8,2.7,2.4,2.0,6,2,5,2,4,993.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,17.7,17.3,15.0,16.5,12.6,1.5,0.5,0.5,1.5,1.5
1921c145,2,2.5,1.8,1.6,3.6,1.0,1.1,1.0,0.6,0.7,0.4,3.7,4.6,3.1,4.3,5.0,2,2,2,6,7,4.5,4.5,4.9,5.8,4.2,2.6,2.8,1.5,2.3,1.7,2,1,0,6,1,1021.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-0.6,-1.7,-2.2,0.5,-1.6,0.0,0.0,0.0,0.0,0.0
197576b0,2,19.3,18.9,17.9,18.6,14.9,1.8,1.9,1.3,1.4,1.2,9.1,9.6,6.8,9.2,8.9,3,7,6,6,7,29.0,27.8,28.2,29.9,25.2,6.0,4.8,2.8,5.1,3.6,3,2,6,6,3,1007.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,9.8,10.0,9.4,9.5,5.7,0.0,0.0,0.0,0.0,0.0
1993cdc7,1,9.2,8.1,7.8,10.1,5.4,1.4,1.2,1.1,1.2,0.8,6.1,7.1,5.2,5.9,6.1,6,6,6,6,5,17.1,16.5,15.5,18.3,14.8,4.5,4.2,2.0,3.7,2.5,6,6,6,6,4,1011.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,2.8,2.0,3.4,6.0,-0.6,0.0,0.0,0.0,0.0,0.0
