Region,date,avg.temp,max.temp,min.temp,precipitation,avg.wind.speed,max.wind.speed,max.wind.speed.dir,max.inst.wind.speed,max.inst.wind.speed.dir,min.atmos.pressure
A,197576b0,19.3,29,9.8,0,1.8,6,NW,9.1,NW,1007.2
A,ce8201a3,21,32.4,10.7,0,1.8,6.1,SW,9.3,SW,1011.9
A,8da77a9a,23.3,33,14.7,0,2.6,8.1,S,11.7,S,1009.3
A,68de3347,17.9,22.6,12.1,6,4,10.4,NW,14.3,W,1001.6
A,07aac6ee,16.7,22.2,13.6,1,1.7,5,SW,7.3,SW,1008.7
A,76ed3ecd,19,27.3,12.8,0,3,9.2,NW,14,NW,1004.8
A,230e1be1,17.7,21.8,13.2,0,1.5,4.1,SW,5.8,SW,1008.8
A,6261c0cb,21.1,28.4,15.1,0,2.5,7.6,S,11.3,SW,1007.6
A,143ab6e7,22.8,31.9,15.3,0,2,6.1,S,9.7,S,1006.8
A,54864238,17.4,20.1,16,40,1.3,3.5,W,5.1,W,999.5
A,c6c50d60,21.7,26.8,16.8,4,3.2,9.7,W,13.5,W,996.8
A,526a5b91,18.5,22.9,16.5,2.5,1.6,5.1,SW,6.8,SW,1003
A,af91095a,16.9,21.9,14.7,17.5,1.6,4.3,E,7.4,E,1000.4
A,df1973aa,17.8,25.7,13.4,5.5,2.5,8.7,S,13.7,SW,1001.1
A,b8da9a32,16.7,23.6,13,4,1.5,5.1,S,9.2,W,1003.4
A,2fea2845,19.4,27.4,13.9,0,2.3,6.4,S,10.4,S,1007.9
A,bff9e068,19.5,27,14.4,1,2.5,7,S,11.2,S,1007.9
A,328e0e20,17.8,21.9,14.6,4.5,4.9,9.4,W,21.5,NW,987.7
A,b592908b,19.1,27.2,11.8,0,2.5,7.6,NW,12.6,NW,1005.6
A,ca8eed0a,19.6,25.6,13.1,0,2.5,7.1,NW,11.7,NW,1008.1
A,f094edac,21.2,29.2,13.4,0,2.8,7.5,NW,12.2,W,1001.5
A,ed94fc6c,21.9,28.8,16.6,0,2.8,8.8,S,12.9,SW,1004.9
A,8d746fae,19.6,25,15.7,10,1.7,6.7,SW,9.3,SW,1006
A,aecc3cae,20.4,28,13.7,0,2.5,6.9,S,11.1,SW,1012.5
A,7ac3d286,22.3,29.5,15.2,0,2.6,6.4,W,9.7,S,1010.8
A,085feaed,21.9,24.1,20.2,25,2.5,5,SW,7.4,SW,1003.2
A,443e5417,22.9,26.3,19.7,0,2.9,6.4,SW,9.3,SW,1002.4
A,d67d1b4f,22.2,27.7,19.3,0,1.6,5.3,SW,6.9,SW,1005.4
A,84bd4439,22.9,27.4,19.8,11,2.2,5.7,SW,9.1,SW,1007.3
A,49009861,22.5,26,19.8,0,1.3,3.3,SW,5.4,SW,1001.9
A,1ce3bd4d,22.6,28.5,18.7,0.5,1.6,4.7,NE,8.9,NE,998.4
A,9bff23e6,22.6,27,19.1,3,1.9,5.4,NE,9.6,NE,1001.7
A,60a9509d,22.2,27.9,19.2,4,2.5,7.5,S,10.7,SE,1003.8
A,5ab3503b,21.8,28.3,19.8,0,2.4,5.9,SW,8.3,SW,1004.2
A,6a9b7332,21.1,24.8,17.9,18,1.4,3.5,SW,4.6,SW,999
A,6fb420a6,22.4,25.5,20.1,10.5,1.7,4,S,5.9,SW,1002
A,fdf76ffe,22.4,25.9,20.6,25.5,1.9,6.2,S,9.1,SW,1008.6
A,97b4c38c,24.5,31.3,20.3,0,2.5,7.7,S,12.2,SW,1009.2
A,c257e6a0,21.3,25.9,20,54,1.4,7.1,NW,10.2,NW,1012.9
A,0c02c215,22.6,28.2,20.1,7,2.5,6.7,S,10.5,S,1011.3
A,d80d2c3d,22.3,24.8,20.6,1,1.1,2.6,NW,3.9,NW,1014.4
A,6f253cb9,24.1,28.5,20.4,0,1.8,5.1,SW,7,SW,1012.2
A,a79ce085,22.4,26.1,20.9,30.5,1.3,3.7,NW,5.3,SW,1008.6
A,58760d22,25.5,32.6,20.5,0,2.6,7.7,W,11.7,W,1000.7
A,ebdd960f,25.5,31.5,20.9,0,2,5.6,SW,7.9,SW,1007.6
A,b5bab358,26,32,21.4,4,2.6,7.6,SW,11.3,SW,1008
A,7dd6aca5,23.3,26.8,21.2,21,2.9,5.8,SW,9.5,SW,1007.9
A,ddb52f49,27.3,33.9,21.7,0,2.9,6.8,SW,9.6,SW,1008.7
A,d610e6fd,27,34.2,23.7,1,2.3,8,NW,12.9,NW,1008
A,46032ed0,27.1,34.6,23,0,2.3,7,S,10.7,SW,1007.2
A,b303622d,28.6,36.4,22.7,0,2.3,6.1,W,8.9,NW,1007.5
A,cc92ae95,27.1,35.2,21.7,0,1.9,5.3,SW,9.7,S,1006.7
A,f688ae33,26.9,34.5,23.3,22.5,1.7,8.7,NE,12.5,N,1007.7
A,d6c86408,27.5,34.3,23,0,1.9,5.3,SW,7.7,SW,1007.4
A,937c5c43,28.2,35.2,24,0,2.1,6.5,S,10.5,SW,1007.2
A,7d75fecb,28.4,35.7,22.4,0,2.3,7.3,NW,9.8,NW,1006
A,e6c3ff52,28.8,35.5,23.8,0,2.1,6.3,NW,9.8,W,1003.9
A,7757bcb2,28.2,34.5,23.7,0,1.7,5.4,SW,7.5,S,1002.9
A,ece1bd2b,27.1,32.1,23.4,0.5,2.3,7.5,SW,11.9,S,1000.7
A,c03a525c,26.1,31.1,23,2.5,4.4,9.9,SW,15.2,SW,995.1
A,52791d04,25.7,29.4,23.6,35.5,4,6.9,SW,13.4,SW,994.7
A,383ab176,27.6,34.2,22.6,0,3.2,7.3,W,11.9,NW,999.8
A,6dd9945a,26.9,33.6,22.1,0,1.8,5.7,S,9,S,1004.4
A,a38cb0ef,26.4,33.3,23.6,5.5,2.1,6.7,SW,9.2,SW,1006.8
A,6d98ac43,25.4,30.6,22.2,0.5,2.5,8.3,SW,11.4,SW,1007.5
A,4e1f0b16,24.3,30.3,18.1,0,4.1,8.6,W,11.7,SW,1005.6
A,f717b5bb,23.4,30.6,17.6,0,1.9,4.8,SW,7.7,SW,1008.4
A,422be7a4,21.9,27.3,17.5,20,1.8,4.7,SW,6.6,SW,1011.2
A,be5e0fa5,23,25.3,21.1,11.5,2,4.9,SW,7.2,W,1007.5
A,16b21254,24.2,29.6,20.4,1,2.5,5.8,NW,8.6,NW,1010.4
A,fb6091b4,23.6,30.4,19.7,0,1.7,5.7,NW,8.7,NW,1015
A,ae83b498,23.7,30.3,18.3,0,1.9,6.6,SW,9.2,SW,1014.7
A,e946c269,23.8,29.2,21.1,6.5,1.5,4.5,SW,6.8,SW,1014.7
A,52ac45cd,25.6,32.9,19.4,0,1.8,5.4,S,8,S,1009.9
A,f30044f2,26.4,34.5,21.7,3,1.5,4.5,NW,6.2,NW,1004.3
A,c91a4454,27.3,34.1,22.7,2.5,2,6.1,W,9.5,W,1005.4
A,f932675d,22.4,29.6,17.2,0,2.1,5.5,SW,8.6,SW,1008.4
A,2843832e,24.7,32.1,19.3,0,1.5,3.9,NE,6.4,NE,1003
A,575ffeaf,24.6,31.6,19.2,0,2.2,6.3,NE,9.5,E,997
A,17e30a70,25.4,31.8,20.8,0,2.1,5.7,E,8.7,E,1004.9
A,9ffa8fb5,19.6,26.9,13.9,0,1.7,4.7,SW,6.8,SE,1012.9
A,bc7d28e0,21.1,25,17.4,0,1.9,6.2,W,8.8,W,1010.4
A,ac2a3587,20.7,27.9,16.3,0,2.3,7.1,NE,12,NE,1016.1
A,39defb5d,20.6,26.1,17.3,0,1.6,5.1,SW,6.9,SW,1019.5
A,01947c8e,21.6,29,15.8,0,1.6,4.9,SW,7.3,SW,1011
A,0c5da78e,23.3,30,18.4,0,1.8,5.5,W,9.2,W,1012.6
A,89557bbe,23.2,29.8,19.1,0,1.8,5.1,SW,8,SW,1016
A,28f97a81,22.2,27.3,18.4,0,2,5.5,SW,8.2,S,1016.2
A,12e37a27,21.7,27.4,17.6,0,3.7,8,SW,12.5,SW,1009.2
A,014cfe7b,19.9,24.2,16.1,18,3.7,11.3,W,14.5,W,1004.6
A,ccfd0ff3,18.9,22.1,15.6,2,3.2,7.3,SW,11.2,SW,1008
A,31476521,16.8,23.6,11.3,0,2,5.4,SE,8.7,NE,1012.3
A,c05a75d2,17.2,26.2,9.9,0,1.3,5.1,NW,7,NE,1012.2
A,b0d20f22,19.9,24.8,16.2,4,1.2,4,NW,5.7,W,1006.6
A,e4fea8dd,19.3,22.4,18.2,48.5,3,7.9,NE,17.9,NE,980.4
A,4ca7e723,15.4,18.3,14,2,1.2,3,E,6.5,E,1017.1
A,4a8350f9,16.3,21.9,12.3,0,1.9,5.7,NW,7.9,NW,1017.9
A,ab93a519,14.8,18.1,10.9,0.5,1.1,3.2,SW,5.2,SW,1022.3
A,85153a6f,18.6,23.9,15.5,0,1.7,4.8,E,6.6,E,1014
A,f59d409f,15.5,18.3,13.1,18,1.2,4.7,NE,8.4,NE,1014.6
A,77407c47,13.5,17.8,10.1,0,1.5,3.9,NE,5,N,1009.6
A,36330a4b,14.3,20.8,11,0,1.8,6.8,W,9.8,NW,1010.1
A,ae1a0e74,11.2,12.1,10.3,15.5,1,2.7,N,4.3,SE,1014.1
A,56d39989,12.8,19.3,9.6,0,1.5,4.7,NW,7.6,W,1015.3
A,4e055d8d,12.6,21.1,8.4,0,1.7,5.4,W,9.1,NW,1014.5
A,3f42a5ae,11.1,20.6,5.5,0,1.3,5.3,NW,6.5,N,1012.5
A,6aa18082,11.9,20.1,5.8,0,1.3,3.3,SW,4.9,SW,1016
A,3bf8b132,11.5,19.2,6,0,1.7,6.6,W,10.6,NE,1010.6
A,ec0fc621,8.9,17.4,2.9,0,1.4,4.3,NW,6.2,SW,1012.4
A,4da3c71e,8.5,18,3.7,0,1.1,4.1,N,5.8,N,1011.9
A,9f5c7c99,9.4,17.6,3.6,0,1.3,3.8,NW,5.9,N,1012.4
A,1993cdc7,9.2,17.1,2.8,0,1.4,4.5,SW,6.1,SW,1011.3
A,9d549324,9.7,15.4,6.2,4,1.7,12.6,W,20.3,NW,1004.7
A,bf91079b,10.4,15.4,3.1,9.5,3.9,11.9,W,16,W,1009.9
A,7f2e48d8,7.6,16.9,0.2,0,2.9,9.9,W,14.9,SW,1014.2
A,add1f35f,12.9,19.2,6.8,12.5,3,7.4,S,12.2,S,1008.2
A,2b1e4201,5.8,13.7,1.2,0,1.8,6.7,W,10.1,NW,1017.7
A,afd91ce2,4.3,12.9,-1.3,0,1.2,4.4,N,6.4,NE,1027.8
A,0fba9f0e,3.9,6.7,0.6,12.5,0.9,2.8,SW,4.7,SW,1028.4
A,dab39d12,11.9,19,6.6,0,1.1,2.7,NW,4.1,SW,1014.9
A,0d44ea01,12.6,20.3,8.8,0,1.6,4.3,E,7.1,SE,1012.9
A,170e414a,7.7,8.9,6.6,2,1.1,2.3,SW,3.3,NE,1023.9
A,a2321355,10.4,16.2,6.7,2,1.5,5.3,SW,6.5,SW,1016.8
A,c5f1facd,6.5,9.3,2.8,0.5,2.1,5,NE,9.1,NE,1016.9
A,bf8d0273,2.7,9.6,-2.3,0,1.5,5,N,6.9,N,1026.3
A,3a85de43,6.3,15.6,-0.3,0,1.6,4.7,SW,6.7,SW,1021.6
A,a8c6911b,9.2,15,5.7,35.5,2.4,9.6,W,14.2,W,1006.2
A,3c69c7ea,6.3,10.7,1.3,0,4.8,11.5,W,16.1,NW,1010.8
A,e86629c2,3.8,9.2,-1.2,0,3.2,9,SW,17.5,SW,1019
A,cbde7ac2,3.8,8.5,-1,0,4.4,10.3,SW,13.9,W,1020.5
A,1921c145,2.5,4.5,-0.6,0,1.1,2.6,NE,3.7,NE,1021
A,2418bbb9,2.5,11.5,-3.4,0,1.4,4.7,NE,7.2,E,1020.1
A,e81b9239,8.1,16.6,2.4,0,1.4,3.6,SW,5.5,SW,1018.1
A,2a45b45b,3.5,10,-1.6,0,1.1,3.6,SW,5.1,SW,1023.3
A,ba567c76,4.3,11.3,-1.7,0,2.3,10,W,14.8,W,1018.9
A,62c2b712,3,9.3,-0.5,0,1.4,4.1,NE,7.6,NE,1022.5
A,3721923e,4,14.3,-2.7,0,1.1,3.7,NW,5.5,NW,1023.7
A,b03d0c95,6.4,9.8,3.4,5.5,0.8,3,NW,3.5,NW,1013.8
A,da961dff,7.6,11.5,2.4,0,4.9,9.4,W,14.5,SW,1016.3
A,cddd8e97,2.8,6.1,0.7,11.5,1.2,4.2,NE,8.5,NE,1013.3
A,df74e6ff,4.3,10.8,0,0,1.7,4.9,SW,6.7,SW,1018
A,fcccb5ff,4.2,12.6,-0.5,0,1.5,4.4,SW,6.4,SW,1021
A,28c35bd7,4.2,7.1,1.3,4.5,1.1,3.5,NE,4.8,NE,1004
A,92e6bf80,1.3,8.3,-3.6,0,1.1,2.4,NW,3.9,E,1019.5
A,6d0c5227,2.4,9.4,-4.1,0,1.3,3.7,NW,5,SW,1026.1
A,0950be19,4.3,6.6,2.8,12,0.8,2.5,SE,3.4,SE,1018.6
A,38330892,5.1,11.6,-1.6,0,3.1,10.8,SW,21.1,W,1012.2
A,0a13c426,1.7,9.7,-4,0,2.6,11,W,15,W,1019
A,3fc5dba9,1.7,7.4,-2.3,0,1.7,6.6,W,10.1,W,1016.4
A,0de5171d,1.9,4.2,-2,7.5,0.8,2.3,W,3.7,NW,1019.3
A,0fb5e0f8,8.9,14.3,4.2,24.5,4.6,11.4,NW,20.1,NW,997.8
A,2ecec8be,7,11.9,1.5,0,3.9,10.3,W,14.9,W,1006.3
A,37deaee4,4.9,10.8,0.2,0,2.1,9.5,W,12.7,W,1013.4
A,2f014a6d,3.3,11.1,-2.4,0,2.3,9,W,12.4,SW,1011.2
A,05fe6250,1.7,6.1,-1.1,0,1.1,6,NW,9,NW,1008.9
A,458b92c8,4.9,10.2,0.5,0,3.7,11.4,W,14.7,W,1010
A,29381b85,4.4,10.5,-1.4,0,2.7,8.3,NW,12.2,W,1016.8
A,30287ddf,3.2,8.4,-0.4,2,3.1,11.8,W,16.7,W,1013.9
A,d364229a,4.4,10.5,-1.1,0,2.8,8.6,NW,13.1,W,1016.1
A,f99b0aa7,3.8,11.5,-3.1,0,2,6.3,SW,10.5,S,1024.9
A,b9eefa3f,5.9,7.5,4,21,1,5.3,W,6.9,W,1017.9
A,cc4d1528,4.1,8.6,1.1,0,1.1,2.4,E,4,E,1025.3
A,d492f1a1,3.5,7.7,-0.5,0.5,1.1,3.1,W,3.9,SE,1022.4
A,fe6dd99c,2.9,4.8,1.7,2,1.6,5.3,W,8.1,NW,1015.3
A,fc3d2e79,6.2,10.7,2.1,5,1.7,4.7,W,6.8,S,1009.4
A,daaa2eed,8.3,13.3,5.6,0.5,3.6,10.1,W,14,W,1001.1
A,c3ba48b7,5.7,9.5,0.9,0,4.7,9.7,SW,15.6,W,1000.6
A,03c9eecc,1.6,9.3,-4.1,0,2.2,8.9,NW,14.1,NW,1012.8
A,aee35c1d,4,10.7,-2.4,0,3.4,10.3,W,15.1,W,1016.2
A,361ff143,3.6,11.6,-2.2,0,2.7,10.7,W,13.8,W,1017.4
A,db40b30a,1.7,5.3,-1.9,0,2.7,10.5,W,18.8,W,1013.5
A,043f3df7,-1.3,3,-5.3,0,2.8,8.1,NW,14.2,NW,1018.9
A,c39f2713,0.4,8.5,-6.1,0,2.3,5.6,SW,8.6,SW,1020.8
A,eb30885b,4.1,11.4,-0.9,0,3,8.7,NW,12.6,W,1008.5
A,3e04840e,0.4,6.6,-3.7,0,2.3,7.7,NE,11.8,NE,1014.1
A,0c2448ba,2,10.8,-4.2,0,1.5,4.3,SW,5.6,E,1021.4
A,a10efa6b,9.8,18.1,5.1,24,2.7,8,SW,11.9,SW,1012.4
A,39f25735,5.8,13,2.1,0,1.1,4.2,SE,5.6,SE,1017.8
A,48388f9f,6.5,13,-0.9,0.5,5.2,9.9,W,16.6,SW,1000.7
A,c261ecf9,2.1,10.4,-4.6,0,1.6,7.5,W,10.2,NW,1022.6
A,f041204d,5.5,14.4,-2,0,2,6,NW,9.2,SW,1029.6
A,75c43dd4,6.8,10.8,3.5,16.5,2.8,9,SW,14.3,W,1015.4
A,c5973fc2,4.8,14.4,-3.2,0,2.9,10.6,W,15.6,W,1018.1
A,f7b7f376,5.6,9.6,1.8,4.5,1.4,3.1,NW,5,SE,1012
A,18b846da,2.6,9.5,-4.1,0,2,7,NW,10.3,NW,1019.3
A,d27a88b3,8.7,15.6,2.2,0,1.7,4,SW,6.4,S,1011.9
A,3f25cafa,9.3,15.8,4.5,0,3.2,9.6,SW,13.1,W,1010.6
A,a589e0d1,4.2,8.4,-0.4,0.5,3.6,8.4,SW,14,NW,1006.5
A,97a95cf5,4,13.7,-3.1,0,1.5,5.5,NW,8.3,NW,1013.6
A,7af61ebc,5.4,14.7,-2.3,0,1.8,6.8,SW,11.9,SW,1016.4
A,a61695e7,4.3,6.4,2.1,15.5,1.5,3.3,NW,5.7,N,1014.2
A,876dbda1,8.5,20,-0.2,0,1.5,4.1,SW,6,SW,1011.2
A,ec28e7d7,7.5,16.9,-0.4,0,3,8.3,SW,14.3,SW,1012.4
A,1c0ef479,2.3,8,-1.4,0,2.8,8.9,W,17.5,NE,1005
A,f151b630,3.8,11,-4.4,0,3.2,9.7,SW,16.3,NW,1013.9
A,2db13d6b,8,14.3,3.5,2.5,4.2,10.3,SW,15.2,W,1011.8
A,51f7fd6b,6.8,12.8,1.9,1,5.5,11.3,W,19.1,SW,998.6
A,21f24632,8.8,17.9,-0.4,0,2.5,7.7,W,12.4,W,1010.4
A,7cfe066d,4.6,9.7,0,0,4,9.6,W,17,NW,1013
A,64219274,10.7,22.3,1.5,0,2.5,9.4,W,14.1,NW,1015.5
A,559e5b66,14.2,20.4,6.5,17,2.5,7.6,W,10.1,W,1008.5
A,59f673cf,7.8,13,3.4,1,1.7,4.4,SW,7.7,SW,1018.2
A,8d274208,11.3,13.9,9.7,19.5,1.1,3.5,SW,5.1,SW,996.7
A,94372452,9.5,15.2,3.3,0,3.8,11.5,W,18,W,998.5
A,bc988b1a,8.3,17.4,-0.3,0,2.3,6.9,W,11.3,SW,1016.1
A,178b6823,10.3,18.2,2.2,0,2.6,7.5,SW,11.3,SW,1010.7
A,c8f4964e,7.9,16.3,-0.3,0,3.7,12.6,W,20,W,1010.6
A,d1e4f014,8.7,17.5,0.6,0,3.1,9.4,W,12.9,NW,1008.4
A,f94b5f5c,10.6,18.9,1.2,0,3.1,10.1,W,15.8,W,1009.5
A,1f901d6e,11.1,18,4.6,0,3.5,8.9,NW,15.6,NW,1011.6
A,9a1500f7,9,15.7,3.2,0,3.7,10,W,15.1,SW,1012.9
A,82cae47e,7.8,16.2,0.1,0,2.5,8.1,S,12.8,S,1012.5
A,1866ce55,8.7,15.4,4.1,0,3.6,8.2,NE,14.7,NE,997.1
A,43533ec2,12.2,21.7,4.6,0,2.3,8.8,W,12.9,W,1009.1
A,72ecf7d0,8.9,12.3,7.1,65.5,2.2,6.1,SW,11.2,S,1005.3
A,66706800,13.1,16.6,10.3,15.5,3.8,8.9,SW,12.5,SW,1005
A,7eaf8c89,12.7,17.8,7.3,0,4.5,9.7,SW,15.4,SW,1005.7
A,67bfead3,8.7,13.6,3,0,5.6,13.3,W,19.5,NW,1003.3
A,e403a6a2,6.4,13.8,0.7,1.5,3.5,10.7,SW,16.1,W,1008.9
A,23a3bc46,9,18.6,-0.2,0,2.6,7.4,SW,11.7,S,1014.1
A,226c3e95,12.9,19.4,6.7,0,3.7,8.7,SW,13.4,SW,1011
A,0ac391dd,11.5,17.8,5.6,0,3.5,9,W,14.2,SW,1013
A,893f4696,16,25.9,6.8,0,2.8,8,SW,16.4,SW,1012.9
A,65af860c,17.7,25,9,0,4.2,11.4,NW,16.5,NW,1010
A,88f0c445,20.7,30.7,10.5,0,3.1,11.1,W,15.9,W,1007.2
A,67ff0179,18.3,26.8,12.7,0,2.5,6.9,SW,10.8,SW,1010.6
A,21b3d099,17.6,24.8,11.8,3,2.5,8.5,W,13.3,SW,1002.8
A,ccec92d0,20.8,29.1,13.5,0,2.5,6.3,S,12.6,SW,1003.4
A,207c524a,15.5,18.4,11.7,20,2.1,7,W,12.7,W,1008
A,cd231003,14.1,20.2,9,0,4.4,9.3,NE,17,NE,1011.1
A,222cd53f,14,24.6,5.3,0,2.6,7.2,SW,11.6,SW,1015.3
A,6b8da2a9,13.7,18.5,9.5,1.5,2.3,6.1,SW,8.3,SW,1016
A,871d6233,17.7,27.9,8.7,0,2.7,7.8,SW,12.2,SW,1000.9
A,aa147815,16.9,27,7.1,0,2,6,NW,9,SE,1012.4
A,474b3a5c,17.4,25.4,10.2,0,2.1,6.7,S,10.3,S,1015.2
A,97e8ca5e,19.2,27,14.4,35.5,2.7,8.2,NW,12.4,NW,993.5
A,9627488d,16.3,21.1,13,0,3.1,7.5,W,9.8,W,1008.9
A,7b780ac4,17.9,25.5,10,0,2.5,7.2,SW,9.9,S,1010.9
A,9477cff8,19.1,26.2,13.7,0,2.4,5.7,W,14.6,SW,1008.6
A,d23b1e18,20.3,26.9,15.7,0,3.2,7.5,S,11.8,S,1008.9
A,d3f49ccb,19.1,24.2,15.3,0.5,1.9,7.5,NW,10.5,NW,1005.8
A,c4195b2a,15.4,18.3,12.7,0,1.1,3.2,SW,4.4,SW,1015.8
A,dcc6bfa3,19.1,24.8,14.1,0,2.2,6.2,SW,8.4,SW,1007.1
A,f639979e,22.6,29.2,17.2,0.5,4,8.7,W,12,W,1002.7
A,98dae936,21,28.8,15.3,0,2.6,8.1,SW,12,SW,1001.8
A,81ca8f6c,23.7,32.7,15.8,0,2.8,8,SW,13.9,SW,1001.5
A,b3ea43d8,21.9,29.5,16.7,0,2.9,7.5,S,12.5,S,1004.1
A,f39fb340,22.4,30.7,16,0,2.8,9.1,S,12.8,S,1011.4
A,d2e49b06,22.6,30.5,15.9,0,2.4,6.2,S,9.5,S,1015.2
A,7fcec8f7,21.2,22.8,20,36,2,5.5,SW,8.4,SW,1005.2
A,137d41ba,22.2,25.2,20.2,60.5,2.9,6.2,SW,10.7,W,1000.1
A,2e81f3f1,16.6,18.3,15,41,1.1,2.8,NW,5.3,NW,999.1
A,379195ab,21,28.1,14.2,0,2.1,6.5,SW,9.7,S,1003.5
A,05b1591f,19.5,22.3,18,3,1.9,5.7,SW,8.5,NE,1004.2
A,6b5227b7,23.2,29.4,19,2,2.2,6,SW,8.6,S,1007.8
A,724241ed,23.4,29.5,19.3,8.5,2.1,5.4,SW,8.3,SW,1004.2
A,6a9da564,25.2,29.9,22.3,4.5,2.5,9,SW,13,SW,1002.9
A,40628d59,24.4,29.6,18.6,0,3.2,7.6,W,11.5,W,1002.6
A,209c3389,20.1,22,18.1,81.5,2.1,6.1,NW,8.8,NW,1000.9
A,ffe3bd74,22.7,26.8,18.8,28,3.7,8.1,S,13.2,SW,1000.5
A,ba306932,21.4,22.5,20.6,75,3.1,5.7,W,10.1,SW,1007.1
A,2f7195ff,22.5,26.3,20.1,11.5,3.1,5.8,SW,9.8,S,1009.7
A,f00e1b02,23.3,26.3,21.9,97,3.6,6.1,SW,9.2,SW,1004.1
A,b3e40f1c,24.6,30.8,20.5,0,2.7,9.3,W,13.2,NW,1000.6
A,9b4ba054,19.7,23.4,17.4,25,2.5,4.7,SW,7.1,SW,1008.1
A,03b70d0a,20.5,22.8,18.4,52,2.9,5.7,S,9.4,SW,999
A,eee84f43,21.3,24.4,18.3,0.5,2.7,6.4,SW,9.6,SW,998.5
A,3197c1be,22.8,29.4,18.6,0.5,2.1,6.4,SW,9.5,SW,1001.7
A,b412dc27,20.8,22.3,19.3,18,0.9,2.4,NW,3.3,SE,1007.1
A,9cbd736f,23.4,29.6,20.4,11.5,2.1,7,S,10.7,S,1007.1
A,0c6b73f5,25.2,33.7,21.7,8.5,2.1,6.1,SW,9.4,SW,1006.8
A,cbcb6911,26,32.8,21.1,13,2.6,8.4,W,12.7,NW,1004
A,e364c659,22.2,24.5,20.2,13,1.7,3.9,SW,6.6,SW,1007.5
A,7b986b07,22.8,28.2,19.8,32,1.8,5.2,SW,9.8,SW,1007.6
A,96c7294e,22.3,24.7,21.2,52.5,1.5,3.6,NW,5.7,W,1009.7
A,cc3dba2a,22.5,26,19.5,12.5,2.1,5.1,W,7.1,W,1013
A,e4921562,23.8,27.5,22.2,26.5,3.2,5.7,NW,8.5,SW,1009.5
A,364a31e5,24.4,31.6,21.2,17.5,1.8,7,NW,10,NW,1008.6
A,5e556052,25.5,32.1,21,10,3.5,9.2,NW,13.7,W,1007.4
A,812a9e3f,25.5,32.3,21.4,1,2.5,7.2,NW,11.7,NW,1008.8
A,1b86b414,27.5,34.7,22.6,0.5,2.1,6.1,S,11,SW,1011.8
A,6b830f4d,27.1,33.1,23,0,2.4,5.8,SW,10.3,NW,1009
A,5a3cc65f,26.8,32.6,22.4,0,2.6,5.8,NW,9.1,W,1006.3
A,7b47ee19,27.4,33.3,23.1,0,2.7,6.6,W,9.5,SW,1008.8
